brood,brood_label,n,mean_number,se_number,mean_size,se_size
one,First brood,45,51.644444444444446,2.5298531828593913,3.545933333333333,0.03211808075074086
two,Second brood,45,34.6,2.496340756330588,3.4054,0.03065405537789594
