term,estimate,lower,upper,p_negative,p_positive
raw,-0.034904533,-0.352675987,0.2766904032499999,0.5899285714285715,0.4100714285714286
log,-0.25428303,-0.5506894312499999,0.04506095084999983,0.953,0.047
