term,estimate,lower,upper,p_negative,p_positive
first,0.097922509,-0.180644197,0.37589080124999996,0.24135714285714285,0.7586428571428572
second,-0.36830929,-0.6436485349,-0.09050504140000008,0.9941428571428571,0.005857142857142857
second_minus_first,-0.468133165,-0.8281295545,-0.09289639220000002,0.9933571428571428,0.006642857142857143
