term,estimate,lower,upper
pooled,-0.03695986931381678,-0.23933052610242822,0.19128775456868347
first,0.06451181026429474,-0.21179747165572824,0.3529717737774755
second,-0.4679041387158142,-0.6446159308072499,-0.23525241717955173
