term,estimate,lower,upper,p_negative,p_positive
among_female,-0.10860256,-0.7678732025,0.7159418552499998,0.6044375,0.3955625
within_female,-0.26265789500000003,-0.49252841449999996,-0.008209886562500051,0.978,0.022
