term,estimate,lower,upper,p_negative,p_positive
first,0.132070535,-0.38197971425,0.64111663875,0.30378571428571427,0.6962142857142857
second,-0.305597597,-0.5158723342499999,-0.09202711875000014,0.9974285714285714,0.0025714285714285713
second_minus_first,-0.43829075,-0.95592760625,0.10068068799999995,0.9484285714285714,0.051571428571428574
