model,term,estimate,lower,upper,p_negative,p_positive
primary_gaussian,first,0.132070535,-0.38197971425,0.64111663875,0.30378571428571427,0.6962142857142857
primary_gaussian,second,-0.305597597,-0.5158723342499999,-0.09202711875000014,0.9974285714285714,0.0025714285714285713
primary_gaussian,second_minus_first,-0.43829075,-0.95592760625,0.10068068799999995,0.9484285714285714,0.051571428571428574
exclude_observation,first,0.13958827499999998,-0.343377121,0.6153301105,0.2780714285714286,0.7219285714285715
exclude_observation,second,-0.244190682,-0.44603089175,-0.03456353174999992,0.9883571428571428,0.011642857142857142
exclude_observation,second_minus_first,-0.384067705,-0.86459160725,0.11450516949999992,0.9386428571428571,0.06135714285714286
exclude_female,first,0.140916825,-0.36042598025,0.6159451994999999,0.28935714285714287,0.7106428571428571
exclude_female,second,-0.24635538,-0.45106045625,-0.03897848025000001,0.9899285714285714,0.010071428571428571
exclude_female,second_minus_first,-0.38340134,-0.87685139775,0.11375473374999992,0.9337142857142857,0.06628571428571428
student_t_likelihood,first,0.159998065,-0.355026411,0.6438775967499998,0.2649285714285714,0.7350714285714286
student_t_likelihood,second,-0.28987282600000003,-0.504215175,-0.07172725775000002,0.9957857142857143,0.004214285714285715
student_t_likelihood,second_minus_first,-0.45037987,-0.94108143575,0.07789285482499987,0.9552857142857143,0.04471428571428571
